id,video_name,large_vs_large,large_vs_small,int_vs_int,large_vs_female,small_vs_female,int_vs_female,female_vs_female,female_vs_male,large_courting,intermediate_courting,small_courting,number_focal,number_large_male,number_small_male,number_model_female,male_chased_juvenile,tank_id,pairwise_distance_large_males,pairwise_distance_small_males,pairwise_distance_females,pairewise_distance_juvs,total_fish,date,comments,small_vs_small,observer,treatment,total_courtship,total_aggression,aggression_towards_females_by_males,aggression_towards_males_by_males,good_video
FF2_10-06-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/10_06_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,7.166666666666667,0.0,FF2,NaN,NaN,452.205,507.13666666666666,16.666666666666668,2016-10-06,0,0,RE,FF,0.0,0.0,0.0,0.0,FALSE
FF2_10-20-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/10_20_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.666666666666667,0.0,FF2,NaN,NaN,448.79333333333335,547.5866666666667,17.666666666666668,2016-10-20,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF2_10-27-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/10_27_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,4.666666666666667,0.0,FF2,NaN,NaN,387.11333333333334,609.1166666666667,13.0,2016-10-27,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF2_11-04-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/11_04_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,FF2,NaN,NaN,530.25,449.87666666666667,16.0,2016-11-04,0,0,SK,FF,0.0,0.0,0.0,0.0,TRUE
FF2_11-10-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/11_10_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,0.0,0.0,6.333333333333333,0.0,FF2,NaN,NaN,507.74666666666667,644.1766666666666,15.666666666666666,2016-11-10,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF2_11-17-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/11_17_2016_FF2_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.333333333333334,0.0,0.0,6.666666666666667,0.0,FF2,NaN,NaN,537.88,510.26,17.0,2016-11-17,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF3_07-29-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copeied from the mollusk 8_30_16/short_videos/07_29_2016_FF3_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,0.0,0.0,6.333333333333333,0.0,FF3,NaN,NaN,419.7866666666667,750.4766666666667,10.666666666666666,2016-07-29,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF3_08-05-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/08_05_2016_FF3_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,3.1666666666666665,0.0,0.0,5.166666666666667,0.0,FF3,NaN,NaN,221.44833333333332,638.1983333333334,8.333333333333334,2016-08-05,0,0,RE,FF,0.0,0.3333333333333333,0.0,0.0,FALSE
FF3_08-08-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/08_08_2016_FF3_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.666666666666666,0.0,0.0,6.333333333333333,0.0,FF3,NaN,NaN,257.58666666666664,430.65333333333336,17.0,2016-08-08,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF3_08-15-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/08_15_2016_FF3_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6.666666666666667,0.0,FF3,NaN,NaN,394.32,552.3766666666667,15.666666666666666,2016-08-15,0,0,RE,FF,0.0,0.3333333333333333,0.0,0.0,TRUE
FF3_08-26-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/08_26_2016_FF3_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,9.666666666666666,0.0,0.0,7.333333333333333,0.0,FF3,NaN,NaN,328.46999999999997,545.8933333333333,17.0,2016-08-26,0,0,RE,FF,0.0,0.3333333333333333,0.0,0.0,TRUE
FF3_09-01-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/09_01_2016_FF3_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6.333333333333333,0.0,FF3,NaN,NaN,553.64,503.54333333333335,15.333333333333334,2016-09-01,0,0,RE,FF,0.0,0.0,0.0,0.0,TRUE
FF3_09-09-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/09_09_2016_FF3_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,7.833333333333333,0.0,0.0,7.166666666666667,0.0,FF3,NaN,NaN,569.8783333333333,624.1883333333333,15.0,2016-09-09,0,0,RE,FF,0.0,0.5,0.0,0.0,FALSE
FF3_09-15-2016,/Volumes/LIQUIDSWORD/common_garden_weekly_videos_copied_from_the_mollusk_8_30_16/short_videos/09_15_2016_FF3_11min.mp4,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,10.333333333333334,0.0,0.0,6.333333333333333,0.0,FF3,NaN,NaN,508.7133333333333,540.1733333333334,16.666666666666668,2016-09-15,0,0,RE,FF,0.0,0.3333333333333333,0.0,0.0,TRUE
